Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,,
A02,SYBR,,Unkn,,,
A03,SYBR,,Unkn,,,
A04,SYBR,,Unkn,,,
A05,SYBR,,Unkn,,,
A06,SYBR,,Unkn,,,
A07,SYBR,,Unkn,,,
A08,SYBR,,Unkn,,,
A09,SYBR,,Unkn,,,
A10,SYBR,,Unkn,,,
A11,SYBR,,Unkn,,,
A12,SYBR,,Unkn,,,
A13,SYBR,,Unkn,,,
A14,SYBR,,Unkn,,,
A15,SYBR,,Unkn,,,
A16,SYBR,,Unkn,,,
A17,SYBR,,Unkn,,,
A18,SYBR,,Unkn,,,
A19,SYBR,,Unkn,,,
A20,SYBR,,Unkn,,,
A21,SYBR,,Unkn,,,
A22,SYBR,,Unkn,,,
A23,SYBR,,Unkn,,,
A24,SYBR,,Unkn,,,
B01,SYBR,,Unkn,,,
B02,SYBR,,Unkn,,,
B03,SYBR,,Unkn,,,
B04,SYBR,,Unkn,,,
B05,SYBR,,Unkn,,,
B06,SYBR,,Unkn,,,
B07,SYBR,,Unkn,,,
B08,SYBR,,Unkn,,,
B09,SYBR,,Unkn,,,
B10,SYBR,,Unkn,,,
B11,SYBR,,Unkn,,,
B12,SYBR,,Unkn,,,
B13,SYBR,,Unkn,,,
B14,SYBR,,Unkn,,,
B15,SYBR,,Unkn,,,
B16,SYBR,,Unkn,,,
B17,SYBR,,Unkn,,,
B18,SYBR,,Unkn,,,
B19,SYBR,,Unkn,,,
B20,SYBR,,Unkn,,,
B21,SYBR,,Unkn,,,
B22,SYBR,,Unkn,,,
B23,SYBR,,Unkn,,,
B24,SYBR,,Unkn,,,
C01,SYBR,,Unkn,,,
C02,SYBR,,Unkn,,,
C03,SYBR,,Unkn,,,
C04,SYBR,,Unkn,,,
C05,SYBR,,Unkn,,,
C06,SYBR,,Unkn,,,
C07,SYBR,,Unkn,,,
C08,SYBR,,Unkn,,,
C09,SYBR,,Unkn,,,
C10,SYBR,,Unkn,,,
C11,SYBR,,Unkn,,,
C12,SYBR,,Unkn,,,
C13,SYBR,,Unkn,,,
C14,SYBR,,Unkn,,,
C15,SYBR,,Unkn,,,
C16,SYBR,,Unkn,,,
C17,SYBR,,Unkn,,,
C18,SYBR,,Unkn,,,
C19,SYBR,,Unkn,,,
C20,SYBR,,Unkn,,,
C21,SYBR,,Unkn,,,
C22,SYBR,,Unkn,,,
C23,SYBR,,Unkn,,,
C24,SYBR,,Unkn,,,
D01,SYBR,,Unkn,,,
D02,SYBR,,Unkn,,,
D03,SYBR,,Unkn,,,
D04,SYBR,,Unkn,,,
D05,SYBR,,Unkn,,,
D06,SYBR,,Unkn,,,
D07,SYBR,,Unkn,,,
D08,SYBR,,Unkn,,,
D09,SYBR,,Unkn,,,
D10,SYBR,,Unkn,,,
D11,SYBR,,Unkn,,,
D12,SYBR,,Unkn,,,
D13,SYBR,,Unkn,,,
D14,SYBR,,Unkn,,,
D15,SYBR,,Unkn,,,
D16,SYBR,,Unkn,,,
D17,SYBR,,Unkn,,,
D18,SYBR,,Unkn,,,
D19,SYBR,,Unkn,,,
D20,SYBR,,Unkn,,,
D21,SYBR,,Unkn,,,
D22,SYBR,,Unkn,,,
D23,SYBR,,Unkn,,,
D24,SYBR,,Unkn,,,
E01,SYBR,,Unkn,,,
E02,SYBR,,Unkn,,,
E03,SYBR,,Unkn,,,
E04,SYBR,,Unkn,,,
E05,SYBR,,Unkn,,,
E06,SYBR,,Unkn,,,
E07,SYBR,,Unkn,,,
E08,SYBR,,Unkn,,,
E09,SYBR,,Unkn,,,
E10,SYBR,,Unkn,,,
E11,SYBR,,Unkn,,,
E12,SYBR,,Unkn,,,
E13,SYBR,,Unkn,,,
E14,SYBR,,Unkn,,,
E15,SYBR,,Unkn,,,
E16,SYBR,,Unkn,,,
E17,SYBR,,Unkn,,,
E18,SYBR,,Unkn,,,
E19,SYBR,,Unkn,,,
E20,SYBR,,Unkn,,,
E21,SYBR,,Unkn,,,
E22,SYBR,,Unkn,,,
E23,SYBR,,Unkn,,,
E24,SYBR,,Unkn,,,
F01,SYBR,,Unkn,,,
F02,SYBR,,Unkn,,,
F03,SYBR,,Unkn,,,
F04,SYBR,,Unkn,,,
F05,SYBR,,Unkn,,,
F06,SYBR,,Unkn,,,
F07,SYBR,,Unkn,,,
