Well,Fluor,Target,Content,Sample,Cq,SQ
G08,SYBR,,Unkn,,,
G09,SYBR,,Unkn,,,
G10,SYBR,,Unkn,,,
G11,SYBR,,Unkn,,,
G12,SYBR,,Unkn,,,
G13,SYBR,,Unkn,,,
G14,SYBR,,Unkn,,,
G15,SYBR,serC,Unkn,serC_11,20.78,
G16,SYBR,serC,Unkn,serC_12,20.3,
G17,SYBR,serC,Unkn,serC_negC,21.05,
G18,SYBR,,Unkn,,,
G19,SYBR,,Unkn,,,
G20,SYBR,,Unkn,,,
G21,SYBR,,Unkn,,,
G22,SYBR,,Unkn,,,
G23,SYBR,,Unkn,,,
G24,SYBR,,Unkn,,,
H01,SYBR,,Unkn,,,
H02,SYBR,,Unkn,,,
H03,SYBR,,Unkn,,,
H04,SYBR,,Unkn,,,
H05,SYBR,,Unkn,,,
H06,SYBR,,Unkn,,,
H07,SYBR,,Unkn,,,
H08,SYBR,,Unkn,,,
H09,SYBR,,Unkn,,,
H10,SYBR,,Unkn,,,
H11,SYBR,,Unkn,,,
H12,SYBR,,Unkn,,,
H13,SYBR,,Unkn,,,
H14,SYBR,,Unkn,,,
H15,SYBR,serC,Unkn,serC_11,20.73,
H16,SYBR,serC,Unkn,serC_12,20.55,
H17,SYBR,serC,Unkn,serC_negC,20.66,
H18,SYBR,,Unkn,,,
H19,SYBR,,Unkn,,,
H20,SYBR,,Unkn,,,
H21,SYBR,,Unkn,,,
H22,SYBR,,Unkn,,,
H23,SYBR,,Unkn,,,
H24,SYBR,,Unkn,,,
I01,SYBR,,Unkn,,,
I02,SYBR,,Unkn,,,
I03,SYBR,,Unkn,,,
I04,SYBR,,Unkn,,,
I05,SYBR,,Unkn,,,
I06,SYBR,,Unkn,,,
I07,SYBR,,Unkn,,,
I08,SYBR,,Unkn,,,
I09,SYBR,,Unkn,,,
I10,SYBR,,Unkn,,,
I11,SYBR,,Unkn,,,
I12,SYBR,,Unkn,,,
I13,SYBR,,Unkn,,,
I14,SYBR,,Unkn,,,
I15,SYBR,serC,Unkn,serC_11,20.58,
I16,SYBR,serC,Unkn,serC_12,20.68,
I17,SYBR,serC,Unkn,serC_negC,20.83,
I18,SYBR,,Unkn,,,
I19,SYBR,,Unkn,,,
I20,SYBR,,Unkn,,,
I21,SYBR,,Unkn,,,
I22,SYBR,,Unkn,,,
I23,SYBR,,Unkn,,,
I24,SYBR,,Unkn,,,
J01,SYBR,,Unkn,,,
J02,SYBR,,Unkn,,,
J03,SYBR,,Unkn,,,
J04,SYBR,,Unkn,,,
J05,SYBR,,Unkn,,,
J06,SYBR,,Unkn,,,
J07,SYBR,,Unkn,,,
J08,SYBR,,Unkn,,,
J09,SYBR,,Unkn,,,
J10,SYBR,,Unkn,,,
J11,SYBR,,Unkn,,,
J12,SYBR,,Unkn,,,
J13,SYBR,,Unkn,,,
J14,SYBR,,Unkn,,,
J15,SYBR,hcaT,Unkn,serC_11,24.44,
J16,SYBR,hcaT,Unkn,serC_12,25.28,
J17,SYBR,hcaT,Unkn,serC_negC,24.96,
J18,SYBR,,Unkn,,,
J19,SYBR,,Unkn,,,
J20,SYBR,,Unkn,,,
J21,SYBR,,Unkn,,,
J22,SYBR,,Unkn,,,
J23,SYBR,,Unkn,,,
J24,SYBR,,Unkn,,,
K01,SYBR,,Unkn,,,
K02,SYBR,,Unkn,,,
K03,SYBR,,Unkn,,,
K04,SYBR,,Unkn,,,
K05,SYBR,,Unkn,,,
K06,SYBR,,Unkn,,,
K07,SYBR,,Unkn,,,
K08,SYBR,,Unkn,,,
K09,SYBR,,Unkn,,,
K10,SYBR,,Unkn,,,
K11,SYBR,,Unkn,,,
K12,SYBR,,Unkn,,,
K13,SYBR,,Unkn,,,
K14,SYBR,,Unkn,,,
K15,SYBR,hcaT,Unkn,serC_11,24.53,
K16,SYBR,hcaT,Unkn,serC_12,25.25,
K17,SYBR,hcaT,Unkn,serC_negC,25.21,
K18,SYBR,,Unkn,,,
K19,SYBR,,Unkn,,,
K20,SYBR,,Unkn,,,
K21,SYBR,,Unkn,,,
K22,SYBR,,Unkn,,,
K23,SYBR,,Unkn,,,
K24,SYBR,,Unkn,,,
L01,SYBR,,Unkn,,,
L02,SYBR,,Unkn,,,
L03,SYBR,,Unkn,,,
L04,SYBR,,Unkn,,,
L05,SYBR,,Unkn,,,
L06,SYBR,,Unkn,,,
L07,SYBR,,Unkn,,,
