Well,Fluor,Target,Content,Sample,Cq,SQ,"**Wells were also used for a separate experiment, or were done following a different protocol. Labels indicates which measurements were made for this analysis."
G13,SYBR,,Unkn,,NaN,NaN,
G14,SYBR,,Unkn,,NaN,NaN,
G15,SYBR,,Unkn,,NaN,NaN,
G16,SYBR,,Unkn,,NaN,NaN,
G17,SYBR,,Unkn,,NaN,NaN,
G18,SYBR,,Unkn,,NaN,NaN,
G19,SYBR,,Unkn,,NaN,NaN,
G20,SYBR,,Unkn,,NaN,NaN,
G21,SYBR,,Unkn,,NaN,NaN,
G22,SYBR,,Unkn,,NaN,NaN,
G23,SYBR,,Unkn,,NaN,NaN,
G24,SYBR,,Unkn,,NaN,NaN,
H01,SYBR,,Unkn,,22.41849001,NaN,
H02,SYBR,,Unkn,,24.43659098,NaN,
H03,SYBR,,Unkn,,21.17111625,NaN,
H04,SYBR,,Unkn,,22.36818202,NaN,
H05,SYBR,,Unkn,,22.78251343,NaN,
H06,SYBR,,Unkn,,21.84010327,NaN,
H07,SYBR,,Unkn,,NaN,NaN,
H08,SYBR,,Unkn,,NaN,NaN,
H09,SYBR,,Unkn,,NaN,NaN,
H10,SYBR,,Unkn,,NaN,NaN,
H11,SYBR,,Unkn,,NaN,NaN,
H12,SYBR,,Unkn,,NaN,NaN,
H13,SYBR,,Unkn,,NaN,NaN,
H14,SYBR,,Unkn,,NaN,NaN,
H15,SYBR,,Unkn,,NaN,NaN,
H16,SYBR,,Unkn,,NaN,NaN,
H17,SYBR,,Unkn,,NaN,NaN,
H18,SYBR,,Unkn,,NaN,NaN,
H19,SYBR,,Unkn,,NaN,NaN,
H20,SYBR,,Unkn,,NaN,NaN,
H21,SYBR,,Unkn,,NaN,NaN,
H22,SYBR,,Unkn,,NaN,NaN,
H23,SYBR,,Unkn,,NaN,NaN,
H24,SYBR,,Unkn,,NaN,NaN,
I01,SYBR,,Unkn,,27.90837988,NaN,
I02,SYBR,,Unkn,,32.23620579,NaN,
I03,SYBR,,Unkn,,21.92843053,NaN,
I04,SYBR,,Unkn,,21.81976167,NaN,
I05,SYBR,,Unkn,,22.40051859,NaN,
I06,SYBR,,Unkn,,21.43440402,NaN,
I07,SYBR,,Unkn,,NaN,NaN,
I08,SYBR,,Unkn,,NaN,NaN,
I09,SYBR,,Unkn,,NaN,NaN,
I10,SYBR,,Unkn,,NaN,NaN,
I11,SYBR,,Unkn,,NaN,NaN,
I12,SYBR,,Unkn,,NaN,NaN,
I13,SYBR,,Unkn,,NaN,NaN,
I14,SYBR,,Unkn,,NaN,NaN,
I15,SYBR,,Unkn,,NaN,NaN,
I16,SYBR,,Unkn,,NaN,NaN,
I17,SYBR,,Unkn,,NaN,NaN,
I18,SYBR,,Unkn,,NaN,NaN,
I19,SYBR,,Unkn,,NaN,NaN,
I20,SYBR,,Unkn,,NaN,NaN,
I21,SYBR,,Unkn,,NaN,NaN,
I22,SYBR,,Unkn,,NaN,NaN,
I23,SYBR,,Unkn,,NaN,NaN,
I24,SYBR,,Unkn,,NaN,NaN,
J01,SYBR,,Unkn,,NaN,NaN,
J02,SYBR,,Unkn,,NaN,NaN,
J03,SYBR,,Unkn,,NaN,NaN,
J04,SYBR,,Unkn,,NaN,NaN,
J05,SYBR,,Unkn,,NaN,NaN,
J06,SYBR,,Unkn,,NaN,NaN,
J07,SYBR,,Unkn,,NaN,NaN,
J08,SYBR,,Unkn,,NaN,NaN,
J09,SYBR,,Unkn,,NaN,NaN,
J10,SYBR,,Unkn,,NaN,NaN,
J11,SYBR,,Unkn,,NaN,NaN,
J12,SYBR,,Unkn,,NaN,NaN,
J13,SYBR,,Unkn,,NaN,NaN,
J14,SYBR,,Unkn,,NaN,NaN,
J15,SYBR,,Unkn,,NaN,NaN,
J16,SYBR,,Unkn,,NaN,NaN,
J17,SYBR,,Unkn,,NaN,NaN,
J18,SYBR,,Unkn,,NaN,NaN,
J19,SYBR,,Unkn,,NaN,NaN,
J20,SYBR,,Unkn,,NaN,NaN,
J21,SYBR,,Unkn,,NaN,NaN,
J22,SYBR,,Unkn,,NaN,NaN,
J23,SYBR,,Unkn,,NaN,NaN,
J24,SYBR,,Unkn,,NaN,NaN,
K01,SYBR,,Unkn,,NaN,NaN,
K02,SYBR,,Unkn,,NaN,NaN,
K03,SYBR,,Unkn,,NaN,NaN,
K04,SYBR,,Unkn,,NaN,NaN,
K05,SYBR,,Unkn,,NaN,NaN,
K06,SYBR,,Unkn,,NaN,NaN,
K07,SYBR,,Unkn,,NaN,NaN,
K08,SYBR,,Unkn,,NaN,NaN,
