Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,NaN,NaN
A02,SYBR,,Unkn,,NaN,NaN
A03,SYBR,,Unkn,,NaN,NaN
A04,SYBR,,Unkn,,NaN,NaN
A05,SYBR,,Unkn,,NaN,NaN
A06,SYBR,,Unkn,,NaN,NaN
A07,SYBR,,Unkn,,NaN,NaN
A08,SYBR,,Unkn,,NaN,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
A13,SYBR,,Unkn,,NaN,NaN
A14,SYBR,,Unkn,,NaN,NaN
A15,SYBR,,Unkn,,NaN,NaN
A16,SYBR,,Unkn,,NaN,NaN
A17,SYBR,,Unkn,,NaN,NaN
A18,SYBR,,Unkn,,NaN,NaN
A19,SYBR,,Unkn,,NaN,NaN
A20,SYBR,,Unkn,,NaN,NaN
A21,SYBR,,Unkn,,NaN,NaN
A22,SYBR,,Unkn,,NaN,NaN
A23,SYBR,,Unkn,,NaN,NaN
A24,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,NaN,NaN
B02,SYBR,,Unkn,,NaN,NaN
B03,SYBR,,Unkn,,NaN,NaN
B04,SYBR,,Unkn,,NaN,NaN
B05,SYBR,,Unkn,,NaN,NaN
B06,SYBR,,Unkn,,NaN,NaN
B07,SYBR,,Unkn,,NaN,NaN
B08,SYBR,,Unkn,,NaN,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
B13,SYBR,,Unkn,,NaN,NaN
B14,SYBR,,Unkn,,NaN,NaN
B15,SYBR,,Unkn,,NaN,NaN
B16,SYBR,,Unkn,,NaN,NaN
B17,SYBR,,Unkn,,NaN,NaN
B18,SYBR,,Unkn,,NaN,NaN
B19,SYBR,,Unkn,,NaN,NaN
B20,SYBR,,Unkn,,NaN,NaN
B21,SYBR,,Unkn,,NaN,NaN
B22,SYBR,,Unkn,,NaN,NaN
B23,SYBR,,Unkn,,NaN,NaN
B24,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,NaN,NaN
C02,SYBR,,Unkn,,NaN,NaN
C03,SYBR,,Unkn,,NaN,NaN
C04,SYBR,,Unkn,,NaN,NaN
C05,SYBR,,Unkn,,NaN,NaN
C06,SYBR,,Unkn,,NaN,NaN
C07,SYBR,,Unkn,,NaN,NaN
C08,SYBR,,Unkn,,NaN,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
C13,SYBR,,Unkn,,NaN,NaN
C14,SYBR,,Unkn,,NaN,NaN
C15,SYBR,,Unkn,,NaN,NaN
C16,SYBR,,Unkn,,NaN,NaN
C17,SYBR,,Unkn,,NaN,NaN
C18,SYBR,,Unkn,,NaN,NaN
C19,SYBR,,Unkn,,NaN,NaN
C20,SYBR,,Unkn,,NaN,NaN
C21,SYBR,,Unkn,,NaN,NaN
C22,SYBR,,Unkn,,NaN,NaN
C23,SYBR,,Unkn,,NaN,NaN
C24,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,NaN,NaN
D02,SYBR,,Unkn,,NaN,NaN
D03,SYBR,,Unkn,,NaN,NaN
D04,SYBR,,Unkn,,NaN,NaN
D05,SYBR,,Unkn,,NaN,NaN
D06,SYBR,,Unkn,,NaN,NaN
D07,SYBR,,Unkn,,NaN,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
D13,SYBR,,Unkn,,NaN,NaN
D14,SYBR,,Unkn,,NaN,NaN
D15,SYBR,,Unkn,,NaN,NaN
D16,SYBR,,Unkn,,NaN,NaN
D17,SYBR,,Unkn,,NaN,NaN
D18,SYBR,,Unkn,,NaN,NaN
D19,SYBR,,Unkn,,NaN,NaN
D20,SYBR,,Unkn,,NaN,NaN
D21,SYBR,,Unkn,,NaN,NaN
D22,SYBR,,Unkn,,NaN,NaN
D23,SYBR,,Unkn,,NaN,NaN
D24,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,NaN,NaN
E02,SYBR,,Unkn,,NaN,NaN
E03,SYBR,,Unkn,,NaN,NaN
E04,SYBR,,Unkn,,NaN,NaN
