Plate	Repeat	Well	Type	Time	Absorbance @ 600 (0.5s) (A)	Time	Absorbance @ 600 (0.5s) (A)	Time	Absorbance @ 600 (0.5s) (A)
1	1	A01	M	00:00:47.94	0.035	00:12:45.12	0.035	00:24:42.32	0.034
1	1	A02	M	00:00:48.71	0.035	00:12:45.89	0.036	00:24:43.09	0.035
1	1	A03	M	00:00:49.48	0.038	00:12:46.66	0.037	00:24:43.86	0.037
1	1	A04	M	00:00:50.25	0.036	00:12:47.43	0.036	00:24:44.63	0.035
1	1	A05	M	00:00:51.02	0.037	00:12:48.20	0.037	00:24:45.40	0.036
1	1	A06	M	00:00:51.79	0.037	00:12:48.97	0.038	00:24:46.17	0.036
1	1	A07	M	00:00:52.56	0.036	00:12:49.74	0.036	00:24:46.94	0.036
1	1	A08	M	00:00:53.33	0.036	00:12:50.51	0.037	00:24:47.71	0.036
1	1	A09	M	00:00:54.10	0.036	00:12:51.28	0.036	00:24:48.48	0.036
1	1	A10	M	00:00:54.87	0.038	00:12:52.05	0.038	00:24:49.25	0.037
1	1	A11	M	00:00:55.64	0.037	00:12:52.82	0.036	00:24:50.02	0.036
1	1	A12	M	00:00:56.41	0.036	00:12:53.59	0.036	00:24:50.79	0.036
1	1	B01	M	00:00:59.64	0.036	00:12:56.82	0.035	00:24:54.02	0.034
1	1	B02	M	00:01:00.41	0.036	00:12:57.59	0.036	00:24:54.79	0.035
1	1	B03	M	00:01:01.18	0.037	00:12:58.36	0.037	00:24:55.56	0.036
1	1	B04	M	00:01:01.95	0.037	00:12:59.13	0.038	00:24:56.33	0.036
1	1	B05	M	00:01:02.72	0.036	00:12:59.90	0.036	00:24:57.10	0.035
1	1	B06	M	00:01:03.49	0.035	00:13:00.67	0.036	00:24:57.87	0.036
1	1	B07	M	00:01:04.26	0.037	00:13:01.44	0.037	00:24:58.64	0.037
1	1	B08	M	00:01:05.03	0.036	00:13:02.21	0.036	00:24:59.41	0.035
1	1	B09	M	00:01:05.80	0.036	00:13:02.98	0.036	00:25:00.18	0.036
1	1	B10	M	00:01:06.57	0.037	00:13:03.75	0.037	00:25:00.95	0.037
1	1	B11	M	00:01:07.34	0.036	00:13:04.52	0.036	00:25:01.72	0.035
1	1	B12	M	00:01:08.11	0.036	00:13:05.29	0.036	00:25:02.49	0.035
1	1	C01	M	00:01:11.34	0.036	00:13:08.52	0.036	00:25:05.72	0.035
1	1	C02	M	00:01:12.11	0.037	00:13:09.29	0.038	00:25:06.49	0.036
1	1	C03	M	00:01:12.88	0.036	00:13:10.06	0.036	00:25:07.26	0.035
1	1	C04	M	00:01:13.65	0.036	00:13:10.83	0.037	00:25:08.03	0.035
1	1	C05	M	00:01:14.42	0.036	00:13:11.60	0.036	00:25:08.80	0.036
1	1	C06	M	00:01:15.19	0.038	00:13:12.37	0.038	00:25:09.57	0.037
1	1	C07	M	00:01:15.96	0.038	00:13:13.14	0.038	00:25:10.34	0.038
1	1	C08	M	00:01:16.73	0.038	00:13:13.91	0.038	00:25:11.11	0.038
1	1	C09	M	00:01:17.50	0.038	00:13:14.68	0.038	00:25:11.88	0.036
1	1	C10	M	00:01:18.27	0.038	00:13:15.45	0.038	00:25:12.65	0.037
1	1	C11	M	00:01:19.04	0.038	00:13:16.22	0.038	00:25:13.42	0.037
1	1	C12	M	00:01:19.81	0.036	00:13:16.99	0.036	00:25:14.19	0.035
1	1	D01	M	00:01:23.04	0.036	00:13:20.22	0.036	00:25:17.42	0.035
1	1	D02	M	00:01:23.81	0.035	00:13:20.99	0.036	00:25:18.19	0.036
1	1	D03	M	00:01:24.58	0.038	00:13:21.76	0.038	00:25:18.96	0.037
1	1	D04	M	00:01:25.35	0.038	00:13:22.53	0.039	00:25:19.73	0.037
1	1	D05	M	00:01:26.12	0.038	00:13:23.30	0.037	00:25:20.50	0.037
1	1	D06	M	00:01:26.89	0.037	00:13:24.07	0.037	00:25:21.27	0.037
1	1	D07	M	00:01:27.66	0.038	00:13:24.84	0.038	00:25:22.04	0.037
1	1	D08	M	00:01:28.43	0.038	00:13:25.61	0.038	00:25:22.81	0.037
1	1	D09	M	00:01:29.20	0.038	00:13:26.38	0.038	00:25:23.58	0.037
1	1	D10	M	00:01:29.97	0.038	00:13:27.15	0.038	00:25:24.35	0.037
1	1	D11	M	00:01:30.74	0.038	00:13:27.92	0.038	00:25:25.12	0.037
1	1	D12	M	00:01:31.51	0.037	00:13:28.69	0.036	00:25:25.89	0.035
1	1	E01	M	00:01:34.74	0.036	00:13:31.92	0.037	00:25:29.12	0.037
1	1	E02	M	00:01:35.51	0.036	00:13:32.69	0.036	00:25:29.89	0.035
1	1	E03	M	00:01:36.28	0.037	00:13:33.46	0.037	00:25:30.66	0.037
1	1	E04	M	00:01:37.05	0.038	00:13:34.23	0.038	00:25:31.43	0.038
1	1	E05	M	00:01:37.82	0.037	00:13:35.00	0.037	00:25:32.20	0.036
1	1	E06	M	00:01:38.59	0.037	00:13:35.77	0.038	00:25:32.97	0.037
1	1	E07	M	00:01:39.36	0.039	00:13:36.54	0.038	00:25:33.74	0.037
1	1	E08	M	00:01:40.13	0.038	00:13:37.31	0.038	00:25:34.51	0.037
1	1	E09	M	00:01:40.90	0.038	00:13:38.08	0.038	00:25:35.28	0.037
1	1	E10	M	00:01:41.67	0.038	00:13:38.85	0.038	00:25:36.05	0.037
1	1	E11	M	00:01:42.44	0.038	00:13:39.62	0.039	00:25:36.82	0.037
1	1	E12	M	00:01:43.21	0.039	00:13:40.39	0.038	00:25:37.59	0.037
1	1	F01	M	00:01:46.44	0.036	00:13:43.62	0.035	00:25:40.82	0.035
1	1	F02	M	00:01:47.21	0.036	00:13:44.39	0.036	00:25:41.59	0.036
1	1	F03	M	00:01:47.98	0.037	00:13:45.16	0.037	00:25:42.36	0.036
1	1	F04	M	00:01:48.75	0.037	00:13:45.93	0.037	00:25:43.13	0.036
1	1	F05	M	00:01:49.52	0.038	00:13:46.70	0.037	00:25:43.90	0.036
1	1	F06	M	00:01:50.29	0.037	00:13:47.47	0.037	00:25:44.67	0.037
1	1	F07	M	00:01:51.06	0.038	00:13:48.24	0.038	00:25:45.44	0.037
1	1	F08	M	00:01:51.83	0.037	00:13:49.01	0.037	00:25:46.21	0.037
1	1	F09	M	00:01:52.60	0.038	00:13:49.78	0.038	00:25:46.98	0.037
1	1	F10	M	00:01:53.37	0.038	00:13:50.55	0.038	00:25:47.75	0.037
1	1	F11	M	00:01:54.14	0.037	00:13:51.32	0.038	00:25:48.52	0.037
1	1	F12	M	00:01:54.91	0.036	00:13:52.09	0.036	00:25:49.29	0.036
1	1	G01	M	00:01:58.14	0.036	00:13:55.32	0.036	00:25:52.52	0.034
1	1	G02	M	00:01:58.91	0.036	00:13:56.09	0.036	00:25:53.29	0.035
1	1	G03	M	00:01:59.68	0.037	00:13:56.86	0.036	00:25:54.06	0.035
1	1	G04	M	00:02:00.45	0.036	00:13:57.63	0.036	00:25:54.83	0.036
1	1	G05	M	00:02:01.22	0.036	00:13:58.40	0.036	00:25:55.60	0.035
1	1	G06	M	00:02:01.99	0.036	00:13:59.17	0.036	00:25:56.37	0.035
1	1	G07	M	00:02:02.76	0.037	00:13:59.94	0.038	00:25:57.14	0.036
1	1	G08	M	00:02:03.53	0.036	00:14:00.71	0.036	00:25:57.91	0.035
1	1	G09	M	00:02:04.30	0.036	00:14:01.48	0.036	00:25:58.68	0.035
1	1	G10	M	00:02:05.07	0.036	00:14:02.25	0.036	00:25:59.45	0.036
1	1	G11	M	00:02:05.84	0.036	00:14:03.02	0.036	00:26:00.22	0.035
1	1	G12	M	00:02:06.61	0.036	00:14:03.79	0.035	00:26:00.99	0.035
1	1	H01	M	00:02:09.84	0.037	00:14:07.02	0.037	00:26:04.22	0.036
1	1	H02	M	00:02:10.61	0.036	00:14:07.79	0.036	00:26:04.99	0.035
1	1	H03	M	00:02:11.38	0.036	00:14:08.56	0.036	00:26:05.76	0.035
1	1	H04	M	00:02:12.15	0.036	00:14:09.33	0.036	00:26:06.53	0.035
1	1	H05	M	00:02:12.92	0.036	00:14:10.10	0.037	00:26:07.30	0.035
1	1	H06	M	00:02:13.69	0.036	00:14:10.87	0.036	00:26:08.07	0.035
1	1	H07	M	00:02:14.46	0.035	00:14:11.64	0.036	00:26:08.84	0.035
1	1	H08	M	00:02:15.23	0.035	00:14:12.41	0.036	00:26:09.61	0.036
1	1	H09	M	00:02:16.00	0.036	00:14:13.18	0.037	00:26:10.38	0.036
1	1	H10	M	00:02:16.77	0.036	00:14:13.95	0.035	00:26:11.15	0.035
1	1	H11	M	00:02:17.54	0.035	00:14:14.72	0.035	00:26:11.92	0.035
1	1	H12	M	00:02:18.31	0.035	00:14:15.49	0.035	00:26:12.69	0.033
1	2	A01	M	00:40:00.44	0.035	00:51:58.14	0.035	01:03:55.84	0.034
1	2	A02	M	00:40:01.21	0.036	00:51:58.91	0.037	01:03:56.61	0.036
1	2	A03	M	00:40:01.98	0.037	00:51:59.68	0.038	01:03:57.38	0.037
1	2	A04	M	00:40:02.75	0.036	00:52:00.45	0.037	01:03:58.15	0.035
1	2	A05	M	00:40:03.52	0.037	00:52:01.22	0.038	01:03:58.92	0.036
1	2	A06	M	00:40:04.29	0.036	00:52:01.99	0.037	01:03:59.69	0.036
1	2	A07	M	00:40:05.06	0.037	00:52:02.76	0.037	01:04:00.46	0.036
1	2	A08	M	00:40:05.83	0.036	00:52:03.53	0.037	01:04:01.23	0.036
1	2	A09	M	00:40:06.60	0.036	00:52:04.30	0.037	01:04:02.00	0.035
1	2	A10	M	00:40:07.37	0.036	00:52:05.07	0.038	01:04:02.77	0.038
1	2	A11	M	00:40:08.14	0.036	00:52:05.84	0.038	01:04:03.54	0.036
1	2	A12	M	00:40:08.91	0.035	00:52:06.61	0.035	01:04:04.31	0.035
1	2	B01	M	00:40:12.14	0.034	00:52:09.84	0.035	01:04:07.54	0.034
1	2	B02	M	00:40:12.91	0.036	00:52:10.61	0.037	01:04:08.31	0.035
1	2	B03	M	00:40:13.68	0.036	00:52:11.38	0.037	01:04:09.08	0.036
1	2	B04	M	00:40:14.45	0.036	00:52:12.15	0.037	01:04:09.85	0.036
1	2	B05	M	00:40:15.22	0.037	00:52:12.92	0.036	01:04:10.62	0.035
1	2	B06	M	00:40:15.99	0.036	00:52:13.69	0.036	01:04:11.39	0.036
1	2	B07	M	00:40:16.76	0.037	00:52:14.46	0.038	01:04:12.16	0.036
1	2	B08	M	00:40:17.53	0.035	00:52:15.23	0.037	01:04:12.93	0.036
1	2	B09	M	00:40:18.30	0.036	00:52:16.00	0.037	01:04:13.70	0.036
1	2	B10	M	00:40:19.07	0.036	00:52:16.77	0.036	01:04:14.47	0.036
1	2	B11	M	00:40:19.84	0.036	00:52:17.54	0.037	01:04:15.24	0.035
1	2	B12	M	00:40:20.61	0.035	00:52:18.31	0.036	01:04:16.01	0.035
1	2	C01	M	00:40:23.84	0.036	00:52:21.54	0.036	01:04:19.24	0.035
1	2	C02	M	00:40:24.61	0.036	00:52:22.31	0.037	01:04:20.01	0.036
1	2	C03	M	00:40:25.38	0.037	00:52:23.08	0.037	01:04:20.78	0.035
1	2	C04	M	00:40:26.15	0.036	00:52:23.85	0.037	01:04:21.55	0.036
1	2	C05	M	00:40:26.92	0.036	00:52:24.62	0.037	01:04:22.32	0.035
1	2	C06	M	00:40:27.69	0.036	00:52:25.39	0.039	01:04:23.09	0.038
1	2	C07	M	00:40:28.46	0.038	00:52:26.16	0.040	01:04:23.86	0.038
1	2	C08	M	00:40:29.23	0.038	00:52:26.93	0.038	01:04:24.63	0.038
1	2	C09	M	00:40:30.00	0.037	00:52:27.70	0.038	01:04:25.40	0.037
1	2	C10	M	00:40:30.77	0.038	00:52:28.47	0.039	01:04:26.17	0.038
1	2	C11	M	00:40:31.54	0.038	00:52:29.24	0.039	01:04:26.94	0.038
1	2	C12	M	00:40:32.31	0.035	00:52:30.01	0.036	01:04:27.71	0.035
1	2	D01	M	00:40:35.54	0.036	00:52:33.24	0.036	01:04:30.94	0.035
1	2	D02	M	00:40:36.31	0.036	00:52:34.01	0.037	01:04:31.71	0.036
1	2	D03	M	00:40:37.08	0.038	00:52:34.78	0.039	01:04:32.48	0.037
1	2	D04	M	00:40:37.85	0.037	00:52:35.55	0.039	01:04:33.25	0.039
1	2	D05	M	00:40:38.62	0.037	00:52:36.32	0.039	01:04:34.02	0.037
1	2	D06	M	00:40:39.39	0.037	00:52:37.09	0.038	01:04:34.79	0.038
1	2	D07	M	00:40:40.16	0.038	00:52:37.86	0.039	01:04:35.56	0.037
1	2	D08	M	00:40:40.93	0.038	00:52:38.63	0.039	01:04:36.33	0.038
1	2	D09	M	00:40:41.70	0.038	00:52:39.40	0.038	01:04:37.10	0.038
1	2	D10	M	00:40:42.47	0.038	00:52:40.17	0.039	01:04:37.87	0.038
1	2	D11	M	00:40:43.24	0.038	00:52:40.94	0.039	01:04:38.64	0.038
1	2	D12	M	00:40:44.01	0.036	00:52:41.71	0.036	01:04:39.41	0.035
