Plate	Repeat	Well	Type	Time	Absorbance @ 600 (0.5s) (A)	Time	Absorbance @ 600 (0.5s) (A)	Time	Absorbance @ 600 (0.5s) (A)
1	2	E01	M	00:40:47.24	0.036	00:52:44.94	0.037	01:04:42.64	0.036
1	2	E02	M	00:40:48.01	0.034	00:52:45.71	0.037	01:04:43.41	0.036
1	2	E03	M	00:40:48.78	0.037	00:52:46.48	0.039	01:04:44.18	0.037
1	2	E04	M	00:40:49.55	0.038	00:52:47.25	0.038	01:04:44.95	0.038
1	2	E05	M	00:40:50.32	0.037	00:52:48.02	0.038	01:04:45.72	0.037
1	2	E06	M	00:40:51.09	0.037	00:52:48.79	0.038	01:04:46.49	0.037
1	2	E07	M	00:40:51.86	0.038	00:52:49.56	0.039	01:04:47.26	0.038
1	2	E08	M	00:40:52.63	0.038	00:52:50.33	0.039	01:04:48.03	0.038
1	2	E09	M	00:40:53.40	0.038	00:52:51.10	0.038	01:04:48.80	0.037
1	2	E10	M	00:40:54.17	0.038	00:52:51.87	0.039	01:04:49.57	0.038
1	2	E11	M	00:40:54.94	0.038	00:52:52.64	0.038	01:04:50.34	0.037
1	2	E12	M	00:40:55.71	0.039	00:52:53.41	0.040	01:04:51.11	0.039
1	2	F01	M	00:40:58.94	0.035	00:52:56.64	0.036	01:04:54.34	0.035
1	2	F02	M	00:40:59.71	0.036	00:52:57.41	0.035	01:04:55.11	0.036
1	2	F03	M	00:41:00.48	0.037	00:52:58.18	0.038	01:04:55.88	0.036
1	2	F04	M	00:41:01.25	0.037	00:52:58.95	0.038	01:04:56.65	0.037
1	2	F05	M	00:41:02.02	0.037	00:52:59.72	0.038	01:04:57.42	0.037
1	2	F06	M	00:41:02.79	0.037	00:53:00.49	0.038	01:04:58.19	0.037
1	2	F07	M	00:41:03.56	0.038	00:53:01.26	0.038	01:04:58.96	0.037
1	2	F08	M	00:41:04.33	0.037	00:53:02.03	0.038	01:04:59.73	0.037
1	2	F09	M	00:41:05.10	0.037	00:53:02.80	0.038	01:05:00.50	0.038
1	2	F10	M	00:41:05.87	0.039	00:53:03.57	0.038	01:05:01.27	0.037
1	2	F11	M	00:41:06.64	0.038	00:53:04.34	0.038	01:05:02.04	0.038
1	2	F12	M	00:41:07.41	0.035	00:53:05.11	0.037	01:05:02.81	0.035
1	2	G01	M	00:41:10.64	0.035	00:53:08.34	0.036	01:05:06.04	0.034
1	2	G02	M	00:41:11.41	0.036	00:53:09.11	0.036	01:05:06.81	0.035
1	2	G03	M	00:41:12.18	0.035	00:53:09.88	0.036	01:05:07.58	0.035
1	2	G04	M	00:41:12.95	0.036	00:53:10.65	0.037	01:05:08.35	0.036
1	2	G05	M	00:41:13.72	0.035	00:53:11.42	0.036	01:05:09.12	0.035
1	2	G06	M	00:41:14.49	0.035	00:53:12.19	0.036	01:05:09.89	0.035
1	2	G07	M	00:41:15.26	0.036	00:53:12.96	0.037	01:05:10.66	0.036
1	2	G08	M	00:41:16.03	0.037	00:53:13.73	0.036	01:05:11.43	0.035
1	2	G09	M	00:41:16.80	0.036	00:53:14.50	0.038	01:05:12.20	0.036
1	2	G10	M	00:41:17.57	0.036	00:53:15.27	0.036	01:05:12.97	0.035
1	2	G11	M	00:41:18.34	0.034	00:53:16.04	0.036	01:05:13.74	0.036
1	2	G12	M	00:41:19.11	0.035	00:53:16.81	0.036	01:05:14.51	0.035
1	2	H01	M	00:41:22.34	0.036	00:53:20.04	0.037	01:05:17.74	0.036
1	2	H02	M	00:41:23.11	0.036	00:53:20.81	0.036	01:05:18.51	0.035
1	2	H03	M	00:41:23.88	0.035	00:53:21.58	0.036	01:05:19.28	0.035
1	2	H04	M	00:41:24.65	0.035	00:53:22.35	0.036	01:05:20.05	0.035
1	2	H05	M	00:41:25.42	0.035	00:53:23.12	0.036	01:05:20.82	0.035
1	2	H06	M	00:41:26.19	0.036	00:53:23.89	0.036	01:05:21.59	0.038
1	2	H07	M	00:41:26.96	0.036	00:53:24.66	0.037	01:05:22.36	0.035
1	2	H08	M	00:41:27.73	0.035	00:53:25.43	0.036	01:05:23.13	0.035
1	2	H09	M	00:41:28.50	0.036	00:53:26.20	0.037	01:05:23.90	0.037
1	2	H10	M	00:41:29.27	0.035	00:53:26.97	0.036	01:05:24.67	0.035
1	2	H11	M	00:41:30.04	0.035	00:53:27.74	0.034	01:05:25.44	0.035
1	2	H12	M	00:41:30.81	0.035	00:53:28.51	0.036	01:05:26.21	0.035
1	3	A01	M	01:19:14.04	0.035	01:31:11.73	0.036	01:43:08.93	0.034
1	3	A02	M	01:19:14.81	0.036	01:31:12.50	0.038	01:43:09.70	0.036
1	3	A03	M	01:19:15.58	0.037	01:31:13.27	0.039	01:43:10.47	0.037
1	3	A04	M	01:19:16.35	0.036	01:31:14.04	0.037	01:43:11.24	0.036
1	3	A05	M	01:19:17.12	0.037	01:31:14.81	0.038	01:43:12.01	0.037
1	3	A06	M	01:19:17.89	0.036	01:31:15.58	0.038	01:43:12.78	0.036
1	3	A07	M	01:19:18.66	0.036	01:31:16.35	0.037	01:43:13.55	0.036
1	3	A08	M	01:19:19.43	0.037	01:31:17.12	0.038	01:43:14.32	0.036
1	3	A09	M	01:19:20.20	0.036	01:31:17.89	0.037	01:43:15.09	0.036
1	3	A10	M	01:19:20.97	0.037	01:31:18.66	0.039	01:43:15.86	0.037
1	3	A11	M	01:19:21.74	0.035	01:31:19.43	0.037	01:43:16.63	0.036
1	3	A12	M	01:19:22.51	0.035	01:31:20.20	0.036	01:43:17.40	0.036
1	3	B01	M	01:19:25.74	0.035	01:31:23.43	0.036	01:43:20.63	0.034
1	3	B02	M	01:19:26.51	0.036	01:31:24.20	0.037	01:43:21.40	0.036
1	3	B03	M	01:19:27.28	0.037	01:31:24.97	0.038	01:43:22.17	0.037
1	3	B04	M	01:19:28.05	0.036	01:31:25.74	0.038	01:43:22.94	0.036
1	3	B05	M	01:19:28.82	0.035	01:31:26.51	0.037	01:43:23.71	0.035
1	3	B06	M	01:19:29.59	0.037	01:31:27.28	0.037	01:43:24.48	0.036
1	3	B07	M	01:19:30.36	0.037	01:31:28.05	0.039	01:43:25.25	0.037
1	3	B08	M	01:19:31.13	0.037	01:31:28.82	0.037	01:43:26.02	0.035
1	3	B09	M	01:19:31.90	0.035	01:31:29.59	0.038	01:43:26.79	0.036
1	3	B10	M	01:19:32.67	0.036	01:31:30.36	0.037	01:43:27.56	0.037
1	3	B11	M	01:19:33.44	0.036	01:31:31.13	0.037	01:43:28.33	0.036
1	3	B12	M	01:19:34.21	0.035	01:31:31.90	0.037	01:43:29.10	0.035
1	3	C01	M	01:19:37.44	0.036	01:31:35.13	0.037	01:43:32.33	0.036
1	3	C02	M	01:19:38.21	0.037	01:31:35.90	0.038	01:43:33.10	0.036
1	3	C03	M	01:19:38.98	0.036	01:31:36.67	0.037	01:43:33.87	0.036
1	3	C04	M	01:19:39.75	0.037	01:31:37.44	0.038	01:43:34.64	0.036
1	3	C05	M	01:19:40.52	0.036	01:31:38.21	0.039	01:43:35.41	0.036
1	3	C06	M	01:19:41.29	0.039	01:31:38.98	0.040	01:43:36.18	0.038
1	3	C07	M	01:19:42.06	0.038	01:31:39.75	0.041	01:43:36.95	0.040
1	3	C08	M	01:19:42.83	0.038	01:31:40.52	0.039	01:43:37.72	0.039
1	3	C09	M	01:19:43.60	0.038	01:31:41.29	0.039	01:43:38.49	0.038
1	3	C10	M	01:19:44.37	0.039	01:31:42.06	0.040	01:43:39.26	0.039
1	3	C11	M	01:19:45.14	0.038	01:31:42.83	0.040	01:43:40.03	0.038
1	3	C12	M	01:19:45.91	0.035	01:31:43.60	0.037	01:43:40.80	0.036
1	3	D01	M	01:19:49.14	0.035	01:31:46.83	0.037	01:43:44.03	0.035
1	3	D02	M	01:19:49.91	0.037	01:31:47.60	0.037	01:43:44.80	0.036
1	3	D03	M	01:19:50.68	0.038	01:31:48.37	0.040	01:43:45.57	0.038
1	3	D04	M	01:19:51.45	0.039	01:31:49.14	0.040	01:43:46.34	0.039
1	3	D05	M	01:19:52.22	0.037	01:31:49.91	0.040	01:43:47.11	0.038
1	3	D06	M	01:19:52.99	0.038	01:31:50.68	0.039	01:43:47.88	0.039
1	3	D07	M	01:19:53.76	0.039	01:31:51.45	0.040	01:43:48.65	0.039
1	3	D08	M	01:19:54.53	0.039	01:31:52.22	0.040	01:43:49.42	0.039
1	3	D09	M	01:19:55.30	0.038	01:31:52.99	0.040	01:43:50.19	0.038
1	3	D10	M	01:19:56.07	0.038	01:31:53.76	0.040	01:43:50.96	0.039
1	3	D11	M	01:19:56.84	0.039	01:31:54.53	0.040	01:43:51.73	0.039
1	3	D12	M	01:19:57.61	0.036	01:31:55.30	0.037	01:43:52.50	0.036
1	3	E01	M	01:20:00.84	0.036	01:31:58.53	0.039	01:43:55.73	0.036
1	3	E02	M	01:20:01.61	0.036	01:31:59.30	0.037	01:43:56.50	0.036
1	3	E03	M	01:20:02.38	0.037	01:32:00.07	0.040	01:43:57.27	0.039
1	3	E04	M	01:20:03.15	0.039	01:32:00.84	0.040	01:43:58.04	0.039
1	3	E05	M	01:20:03.92	0.038	01:32:01.61	0.039	01:43:58.81	0.038
1	3	E06	M	01:20:04.69	0.038	01:32:02.38	0.039	01:43:59.58	0.038
1	3	E07	M	01:20:05.46	0.039	01:32:03.15	0.040	01:44:00.35	0.038
1	3	E08	M	01:20:06.23	0.038	01:32:03.92	0.040	01:44:01.12	0.039
1	3	E09	M	01:20:07.00	0.038	01:32:04.69	0.040	01:44:01.89	0.038
1	3	E10	M	01:20:07.77	0.038	01:32:05.46	0.040	01:44:02.66	0.038
1	3	E11	M	01:20:08.54	0.038	01:32:06.23	0.040	01:44:03.43	0.038
1	3	E12	M	01:20:09.31	0.037	01:32:07.00	0.039	01:44:04.20	0.037
1	3	F01	M	01:20:12.54	0.034	01:32:10.23	0.037	01:44:07.43	0.035
1	3	F02	M	01:20:13.31	0.036	01:32:11.00	0.036	01:44:08.20	0.037
1	3	F03	M	01:20:14.08	0.038	01:32:11.77	0.039	01:44:08.97	0.038
1	3	F04	M	01:20:14.85	0.037	01:32:12.54	0.039	01:44:09.74	0.037
1	3	F05	M	01:20:15.62	0.037	01:32:13.31	0.039	01:44:10.51	0.037
1	3	F06	M	01:20:16.39	0.037	01:32:14.08	0.039	01:44:11.28	0.037
1	3	F07	M	01:20:17.16	0.038	01:32:14.85	0.039	01:44:12.05	0.038
1	3	F08	M	01:20:17.93	0.037	01:32:15.62	0.039	01:44:12.82	0.037
1	3	F09	M	01:20:18.70	0.038	01:32:16.39	0.040	01:44:13.59	0.038
1	3	F10	M	01:20:19.47	0.038	01:32:17.16	0.040	01:44:14.36	0.038
1	3	F11	M	01:20:20.24	0.038	01:32:17.93	0.040	01:44:15.13	0.039
1	3	F12	M	01:20:21.01	0.035	01:32:18.70	0.038	01:44:15.90	0.035
1	3	G01	M	01:20:24.24	0.035	01:32:21.93	0.037	01:44:19.13	0.035
1	3	G02	M	01:20:25.01	0.036	01:32:22.70	0.037	01:44:19.90	0.035
1	3	G03	M	01:20:25.78	0.035	01:32:23.47	0.037	01:44:20.67	0.035
1	3	G04	M	01:20:26.55	0.036	01:32:24.24	0.037	01:44:21.44	0.036
1	3	G05	M	01:20:27.32	0.036	01:32:25.01	0.037	01:44:22.21	0.035
1	3	G06	M	01:20:28.09	0.035	01:32:25.78	0.037	01:44:22.98	0.035
1	3	G07	M	01:20:28.86	0.036	01:32:26.55	0.038	01:44:23.75	0.036
1	3	G08	M	01:20:29.63	0.036	01:32:27.32	0.037	01:44:24.52	0.035
1	3	G09	M	01:20:30.40	0.036	01:32:28.09	0.037	01:44:25.29	0.036
1	3	G10	M	01:20:31.17	0.036	01:32:28.86	0.037	01:44:26.06	0.035
1	3	G11	M	01:20:31.94	0.035	01:32:29.63	0.037	01:44:26.83	0.035
1	3	G12	M	01:20:32.71	0.034	01:32:30.40	0.037	01:44:27.60	0.036
1	3	H01	M	01:20:35.94	0.036	01:32:33.63	0.038	01:44:30.83	0.036
1	3	H02	M	01:20:36.71	0.036	01:32:34.40	0.037	01:44:31.60	0.036
1	3	H03	M	01:20:37.48	0.035	01:32:35.17	0.037	01:44:32.37	0.035
1	3	H04	M	01:20:38.25	0.035	01:32:35.94	0.037	01:44:33.14	0.035
1	3	H05	M	01:20:39.02	0.035	01:32:36.71	0.037	01:44:33.91	0.035
1	3	H06	M	01:20:39.79	0.036	01:32:37.48	0.037	01:44:34.68	0.035
1	3	H07	M	01:20:40.56	0.036	01:32:38.25	0.037	01:44:35.45	0.036
1	3	H08	M	01:20:41.33	0.035	01:32:39.02	0.038	01:44:36.22	0.035
1	3	H09	M	01:20:42.10	0.036	01:32:39.79	0.037	01:44:36.99	0.036
1	3	H10	M	01:20:42.87	0.034	01:32:40.56	0.037	01:44:37.76	0.035
1	3	H11	M	01:20:43.64	0.035	01:32:41.33	0.036	01:44:38.53	0.036
1	3	H12	M	01:20:44.41	0.035	01:32:42.10	0.036	01:44:39.30	0.035
1	4	A01	M	01:58:26.61	0.037	02:10:23.81	0.035	02:22:21.52	0.035
1	4	A02	M	01:58:27.38	0.038	02:10:24.58	0.036	02:22:22.29	0.037
1	4	A03	M	01:58:28.15	0.039	02:10:25.35	0.037	02:22:23.06	0.036
1	4	A04	M	01:58:28.92	0.038	02:10:26.12	0.035	02:22:23.83	0.036
1	4	A05	M	01:58:29.69	0.039	02:10:26.89	0.036	02:22:24.60	0.037
1	4	A06	M	01:58:30.46	0.038	02:10:27.66	0.036	02:22:25.37	0.036
1	4	A07	M	01:58:31.23	0.038	02:10:28.43	0.036	02:22:26.14	0.036
1	4	A08	M	01:58:32.00	0.038	02:10:29.20	0.036	02:22:26.91	0.036
1	4	A09	M	01:58:32.77	0.039	02:10:29.97	0.035	02:22:27.68	0.036
1	4	A10	M	01:58:33.54	0.039	02:10:30.74	0.037	02:22:28.45	0.037
1	4	A11	M	01:58:34.31	0.038	02:10:31.51	0.036	02:22:29.22	0.036
1	4	A12	M	01:58:35.08	0.037	02:10:32.28	0.036	02:22:29.99	0.036
1	4	B01	M	01:58:38.31	0.037	02:10:35.51	0.034	02:22:33.22	0.034
1	4	B02	M	01:58:39.08	0.039	02:10:36.28	0.037	02:22:33.99	0.037
1	4	B03	M	01:58:39.85	0.038	02:10:37.05	0.036	02:22:34.76	0.036
1	4	B04	M	01:58:40.62	0.039	02:10:37.82	0.036	02:22:35.53	0.036
1	4	B05	M	01:58:41.39	0.037	02:10:38.59	0.035	02:22:36.30	0.035
1	4	B06	M	01:58:42.16	0.038	02:10:39.36	0.036	02:22:37.07	0.036
1	4	B07	M	01:58:42.93	0.040	02:10:40.13	0.037	02:22:37.84	0.037
